,categorization,x,comments
1,1,Appropriateness of the probability approach with a nutrient status biomarker to assess population inadequacy  a study using vitamin D,
2,1,Environmental effects of applying composted organics to new highway embankments  Part 1  Interrill runoff and erosion,
3,1,The permanent process,
4,1,NATM Design for Stanford Linac Coherent Light Source Tunnels,
5,1,Divide and Conquer In Reliability Analyses,
6,1,Access to care for children of migratory agricultural workers  factors associated with unmet need for medical care,
7,1,Lower risk of cardiovascular events in postmenopausal women taking oral estradiol compared with oral conjugated equine estrogens,
8,1,The use of posterior vertebral column resection in the management of severe posttuberculous kyphosis  a retrospective study and literature review,
9,1,Venlafaxine Extended Release for Depression Following Spinal Cord Injury A Randomized Clinical Trial,
10,1,Sequence and phylogenetic data indicate that an orthobunyavirus recently detected in the Yucatan Peninsula of Mexico is a novel reassortant of Potosi and Cache   ,
11,1,Problems with primate sex ratios,
12,1,Disease specific reference equations for lung function in patients with cystic fibrosis,
13,1,Polymorphisms Influencing Prostate Specific Antigen Concentration May Bias Genome Wide Association Studies on Prostate Cancer,
14,NA,R Graphics,software
15,0,Sampling schemes for policy analyses using computer simulation experiments,
16,1,Arterial age as a function of coronary artery calcium  from the Multi Ethnic Study of Atherosclerosis  MESA  ,
17,1,Neurologic correlates of infarction like lesion location on magnetic resonance imaging in the cardiovascular health study,
18,1,A study of improving the power factor of a three phase induction motor using a static switched capacitor,
19,NA,Response to Cavalli Sforza Interview  Human Biology 82  3   245 266  June 2010  ,response
20,NA,EOV Ed Board,no clue
21,1,Facile synthesis of highly efficient phenyltetraene based nonlinear optical chromophores for electrooptics,
22,1,African ancestry is a risk factor for asthma and high total IgE levels in African admixed populations,
23,1,Changes of gene expression in gastric preneoplasia following Helicobacter pylori eradication therapy,
24,1,A new FACS approach isolates hESC derived endoderm using transcription factors,
25,1,Predictors of Chlamydia trachomatis infection among female adolescents  a longitudinal analysis,
26,1,Parenting attitudes  foster parenting attitudes  and motivations of adoptive and nonadoptive foster parent trainees,
27,0,Strategies for mapping heterogeneous recessive traits by allele sharing methods ,
28,1,Efficient ultraviolet blue polymer light emitting diodes based on a fluorene based non conjugated polymer,
29,1,Humidity and gravimetric equivalency adjustments for nephelometer based particulate matter measurements of emissions from solid biomass fuel use in cookstoves,
30,1,Rates of major depressive disorder and clinical outcomes following traumatic brain injury,
31,1,The effects of a smoking cessation intervention on 14 5 year mortality  a randomized clinical trial,
32,0,Moment based gene set tests,
33,1,MELD exceptions and rates of waiting list outcomes,
34,0,On model selection consistency of M estimators with geometrically decomposable penalties,
35,1,Does cardioplegia type affect outcome and survival in patients with advanced left ventricular dysfunction  Results from the CABG Patch Trial,
36,0,Failure time regression analysis,
37,1,FoxOs cooperatively regulate diverse pathways governing neural stem cell homeostasis,
38,1,Mobile application development  web vs  native,
39,0,Sample size estimation while controlling false discovery rate for microarray experiments using the ssize  fdr package,
40,1,Role of hippocampal signaling pathways in long term memory formation of a nonassociative learning task in the rat ,
41,NA,Re  Long Term Survival and Mortality in Prostate Cancer Treated With Noncurative Intent,response
42,1,Encoding of coordinated grasp trajectories in primary motor cortex,
43,1,Using plasma viral load to guide antiretroviral therapy initiation to prevent HIV 1 transmission,
44,1,Divide and Conquer In Reliability Analyses  Gain understanding by looking at different population segments,
45,1,Genetically dictated change in host mucus carbohydrate landscape exerts a diet dependent effect on the gut microbiota,
