"Last" "First" "School" "Type"
"1" "Bandeen-Roche" "Karen" "Johns Hopkins University" "Biostatistics"
"2" "Caffo" "Brian" "Johns Hopkins University" "Biostatistics"
"3" "Crainiceanu" "Ciprian" "Johns Hopkins University" "Biostatistics"
"4" "Diener-West" "Marie" "Johns Hopkins University" "Biostatistics"
"5" "Frangakis" "Constantine" "Johns Hopkins University" "Biostatistics"
"6" "Han" "Fang" "Johns Hopkins University" "Biostatistics"
"7" "Hansen" "Kasper" "Johns Hopkins University" "Biostatistics"
"8" "Ji" "Hongkai" "Johns Hopkins University" "Biostatistics"
"9" "Leek" "Jeffrey" "Johns Hopkins University" "Biostatistics"
"10" "Lindquist" "Martin" "Johns Hopkins University" "Biostatistics"
"11" "Louis" "Thomas" "Johns Hopkins University" "Biostatistics"
"12" "Ogburn" "Elizabeth" "Johns Hopkins University" "Biostatistics"
"13" "Peng" "Roger" "Johns Hopkins University" "Biostatistics"
"14" "Rohde" "Charles" "Johns Hopkins University" "Biostatistics"
"15" "Rosenblum" "Michael" "Johns Hopkins University" "Biostatistics"
"16" "Ruczinski" "Ingo" "Johns Hopkins University" "Biostatistics"
"17" "Scharfstein" "Daniel O." "Johns Hopkins University" "Biostatistics"
"18" "Tonascia" "James" "Johns Hopkins University" "Biostatistics"
"19" "Wang" "Mei-Cheng" "Johns Hopkins University" "Biostatistics"
"20" "Zeger" "Scott" "Johns Hopkins University" "Biostatistics"
"21" "Zipunnikov" "Vadim" "Johns Hopkins University" "Biostatistics"
"22" "Carone" "Marco" "University of Washington" "Biostatistics"
"23" "Chan" "KC Gary" "University of Washington" "Biostatistics"
"24" "Emerson" "Scott" "University of Washington" "Biostatistics"
"25" "Fleming" "Thomas" "University of Washington" "Biostatistics"
"26" "Halloran" "Elizabeth (Betz)" "University of Washington" "Biostatistics"
"27" "Heagerty" "Patrick" "University of Washington" "Biostatistics"
"28" "Hoff" "Peter" "University of Washington" "Biostatistics"
"29" "Hughes" "Jim" "University of Washington" "Biostatistics"
"30" "Inoue" "Lurdes" "University of Washington" "Biostatistics"
"31" "Kerr" "Kathleen" "University of Washington" "Biostatistics"
"32" "Kronmal" "Richard" "University of Washington" "Biostatistics"
"33" "Leroux" "Brian" "University of Washington" "Biostatistics"
"34" "May" "Susanne" "University of Washington" "Biostatistics"
"35" "McKnight" "Barbara" "University of Washington" "Biostatistics"
"36" "Peterson" "Art" "University of Washington" "Biostatistics"
"37" "Prentice" "Ross" "University of Washington" "Biostatistics"
"38" "Rice" "Kenneth" "University of Washington" "Biostatistics"
"39" "Sheppard" "Elizabeth (Lianne)" "University of Washington" "Biostatistics"
"40" "Shojaie" "Ali" "University of Washington" "Biostatistics"
"41" "Simon" "Noah" "University of Washington" "Biostatistics"
"42" "Szpiro" "Adam" "University of Washington" "Biostatistics"
"43" "Temkin" "Nancy" "University of Washington" "Biostatistics"
"44" "Thornton" "Timothy" "University of Washington" "Biostatistics"
"45" "Wakefield" "Jon" "University of Washington" "Biostatistics"
"46" "Weir" "Bruce" "University of Washington" "Biostatistics"
"47" "Wellner" "Jon" "University of Washington" "Biostatistics"
"48" "Wijsman" "Ellen" "University of Washington" "Biostatistics"
"49" "Witten" "Daniela" "University of Washington" "Biostatistics"
"50" "Zhou" "XH Andrew" "University of Washington" "Biostatistics"
"51" "Bandyopadhyay" "Dipankar" "University of Minnesota" "Biostatistics"
"52" "Banerjee" "Sudipto" "University of Minnesota" "Biostatistics"
"53" "Basu" "Saonli" "University of Minnesota" "Biostatistics"
"54" "Carlin" "Bradley P" "University of Minnesota" "Biostatistics"
"55" "Chu" "Haitao" "University of Minnesota" "Biostatistics"
"56" "Connett" "John E." "University of Minnesota" "Biostatistics"
"57" "Eberly" "Lynn E." "University of Minnesota" "Biostatistics"
"58" "Grund" "Birgit" "University of Minnesota" "Biostatistics"
"59" "Guan" "Weihua" "University of Minnesota" "Biostatistics"
"60" "Ho" "Yen-Yi" "University of Minnesota" "Biostatistics"
"61" "Hodges" "James" "University of Minnesota" "Biostatistics"
"62" "Hughes" "John" "University of Minnesota" "Biostatistics"
"63" "Koopmeiners" "Joseph" "University of Minnesota" "Biostatistics"
"64" "Le" "Chap T." "University of Minnesota" "Biostatistics"
"65" "Lock" "Eric" "University of Minnesota" "Biostatistics"
"66" "Luo" "Xianghua" "University of Minnesota" "Biostatistics"
"67" "Mugglin" "Andrew" "University of Minnesota" "Biostatistics"
"68" "Neaton" "James D" "University of Minnesota" "Biostatistics"
"69" "Pan" "Wei" "University of Minnesota" "Biostatistics"
"70" "Reilly" "Cavan" "University of Minnesota" "Biostatistics"
"71" "Rudser" "Kyle" "University of Minnesota" "Biostatistics"
"72" "Vock" "David" "University of Minnesota" "Biostatistics"
"73" "Weber" "Eric" "University of Minnesota" "Biostatistics"
"74" "Wei" "Susan" "University of Minnesota" "Biostatistics"
"75" "Wolfson" "Julian" "University of Minnesota" "Biostatistics"
"76" "Wu" "Baolin" "University of Minnesota" "Biostatistics"
